ts	phase	decision	why	evidence	result
2026-09-01T16:07:47+01:00	frame	Finish only when bootstrap, shared query policy, all cache-safe direct web reads behind Query (gate: 95 adapter reads, 26 intentional imperative, 1 pairing), theme catalog domain wired through the same transport and mounted in settings Appearance, settings-boundary e2e regressions fixed, behavior tests, visual proof, APK, and release checks pass	This turns the migration into a falsifiable product and repository predicate instead of a dependency-install task	docs/specs/server-state-query-migration.md, bun scripts/check-query-migration.mjs (95/26/1), frontend/src/lib/query/themes.ts, frontend/src/routes/settings/+page.svelte Appearance tab	INCONCLUSIVE
2026-09-01T16:07:47+01:00	frame	Adopt TanStack Query for cache-safe server state on web and mobile, with an in-memory cache and no offline mutation replay	The repeated page waterfalls come from independently owned remote reads and loading states; one query owner can deduplicate reads, preserve cached data, and share policy without persisting sensitive data	docs/specs/server-state-query-migration.md	VERIFIED
2026-09-01T16:07:47+01:00	design	Keep generated OpenAPI types and framework-neutral query definitions in separate workspace packages	The contract should remain generated and authoritative while query keys, policy, normalization, retry, cancellation, and invalidation stay reusable across Svelte and React	docs/specs/server-state-query-migration.md	VERIFIED
2026-09-01T16:07:47+01:00	design	Add one optional-auth application bootstrap read	A single startup read removes the auth, Workspace, and settings waterfall without breaking older endpoints or requiring a database migration	docs/specs/server-state-query-migration.md	VERIFIED
2026-09-01T16:07:47+01:00	design	Partition every Workspace query key and clear the whole cache only when actor, server, or token identity changes	Workspace switches may retain safely isolated cached data; identity switches must never expose the previous actor's state	docs/specs/server-state-query-migration.md	VERIFIED
2026-09-01T16:07:47+01:00	design	Delay cold first-viewport placeholders by 150 ms and keep cached content visible during refresh	Fast reads should not flash skeletons; slow reads need one content-shaped page boundary; background work must not replace usable content	docs/specs/server-state-query-migration.md	VERIFIED
2026-09-01T18:51:39+01:00	bootstrap	Implement the additive bootstrap endpoint and strict optional-auth failure classification	The web and mobile startup paths need one response while outages and database failures must not be misreported as anonymous or invalid credentials	backend/internal/api/handlers/app_bootstrap.go	VERIFIED
2026-09-01T19:10:00+01:00	web-foundation	Prove Query client policy, session cache clearing, request deduplication, and the Publications Activity pilot before expanding	The riskiest shared behavior needs executable evidence before migrating the remaining domains	packages/query-catalog/src/index.test.ts	VERIFIED
2026-09-01T19:29:58+01:00	presentation	Use one delayed PageContainer loading boundary while reserving header-action layout	This removes short skeleton flashes without layout shift and cancels stale timers when loading resolves or restarts	frontend/src/lib/components/ui-consistency.svelte.test.ts	VERIFIED
2026-09-01T19:31:16+01:00	workflow	Keep implementation slices in Worktrunk-managed branches and merge only the fully verified candidate into main	Independent commits stay reviewable and revertible while the release task owns main and the shared Devenv lane	git history and Worktrunk state	VERIFIED
2026-09-01T19:34:00+01:00	verification	Add an AST-based allowlist gate before expanding the web migration	The baseline must distinguish the exact 20 intentional one-shot reads, the CLI pairing read, Query adapters, and the excluded Image Editor adapter from 98 cache-safe reads that still bypass Query; every domain slice can now measure the debt it removes	scripts/check-query-migration.mjs and scripts/check-query-migration.test.mjs	VERIFIED
2026-09-01T19:46:00+01:00	design	Expose small domain query interfaces with web and mobile transport adapters, and keep key, policy, normalization, retry, cancellation, seeding, and invalidation logic behind those interfaces	Web and mobile are two real adapters at one shared seam; domain interfaces avoid one shallow transport wrapper or one giant catalog interface while concentrating behavior and tests	packages/query-catalog/src (accounts, admin, themes, ... per-domain *QueryAPI + transports; see packages/query-catalog/src/themes.ts and its web adapter frontend/src/lib/query/themes.ts)	VERIFIED
